"mlid","tid","vid"
"tid","title"
"66","Японская гравюра"
"67","Европейская гравюра XV-XVII"
"68","Модерн"
"63","Allaert Claesz"
"69","Nikolaus Stör"
"73","иллюстрация"
"74","Джон Тенниел"
"75","плакатная графика"
"82","Стейнлен, Теофиль-Александр"
"8","Хьюго Симберг"
"83","Библия Мациевского"
"84","Русская миниатюра"
"85","карикатура"
"86","Манесский кодекс"
"10","Michael Cheval (Михаил Хохлачев)"
"144","Гравюра XVIII-XIX"
"145","Густав Доре"
"147","Ян ван Эйк"
"150","Жан Гранвиль"
"151","Лукас Кранах Старший"
"72","72","106"
"301","301","144"
"302","302","139"
"303","303","73"
"304","304","75"
"305","305","85"
"306","306","138"
"307","307","133"
"308","308","72"
"309","309","68"
"28","28","106"
"24","24","112"
"20","20","103"
"85","85","158"
"314","314","19"
"315","315","63"
"316","316","69"
"317","317","65"
"318","318","64"
"319","319","59"
"320","320","58"
"321","321","22"
"322","322","61"
"323","323","23"
"324","324","24"
"325","325","60"
"326","326","74"
"393","393","101"
"328","328","117"
"332","332","82"
"333","333","90"
"334","334","89"
"335","335","77"
"199","199","231"
"337","337","78"
"338","338","91"
"339","339","14"
"340","340","88"
"346","346","136"
"350","350","84"
"354","354","2"
"359","359","155"
"359","359","123"
"359","359","112"
"360","360","14"
"360","360","138"
"360","360","112"
"361","361","14"
"361","361","119"
"362","362","14"
"362","362","123"
"362","362","119"
"363","363","147"
"362","362","112"
"361","361","112"
"168","168","112"
"364","364","153"
"364","364","123"
"365","365","98"
"365","365","97"
"365","365","99"
"366","366","98"
"366","366","97"
"366","366","99"
"367","367","97"
"367","367","194"
"367","367","149"
"294","294","97"
"358","358","97"
"368","368","148"
"369","369","148"
"369","369","97"
"370","370","148"
"370","370","97"
"371","371","148"
"371","371","97"
"372","372","148"
"372","372","97"
"373","373","182"
"373","373","104"
"374","374","182"
"374","374","104"
"375","375","22"
"375","375","97"
"376","376","22"
"376","376","97"
"377","377","126"
"377","377","189"
"377","377","149"
"377","377","201"
"378","378","150"
"379","379","191"
"379","379","104"
"379","379","101"
"380","380","150"
"380","380","101"
"381","381","150"
"381","381","101"
"382","382","150"
"382","382","101"
"383","383","150"
"383","383","101"
"384","384","101"
"385","385","150"
"385","385","101"
"386","386","85"
"386","386","150"
