entity_id,field_subfolder_value
523,video/films/0_comedy/kin-dza-dza
524,video/films/mult
525,"video/films/
Clark.Larry"
526,"video/films/
Clark.Larry"
527,"video/films/
Qatsi_(trilogy_Godfrey_ Reggio)"
528,"video/films/
Battelfield - Manchuria. The Forgotten Victory"
529,"video/films/
russia_the_missing_years"
530,"video/films/
born_in_ussr/14.avi
born_in_ussr/21_1.avi
born_in_ussr"
531,video/films/Leonid_Gayday
532,video/films/mult
533,video/films/0_comedy
534,"video/films/
airplane_ii_the_sequel.avi
0_comedy"
535,video/films/0_comedy
536,video/films/http://mycomp/video2/0_comedy
