entity_id,field_subfolder_value
495,video/films/0_comedy
496,video/films/http://mycomp/video2/0_comedy
497,video/films/S
498,video/films/0_comedy
499,video/films/0_documental
500,video
501,"video/video_opera/full/Mozart_Don_Giovanni_2001_Zurich_Flimm/don giovanni 1"
502,"video/films/Z/Звезды русского авангарда/."
503,video/films/O/.
504,video/films/V/.
505,video/films/L
506,video/films/A
507,video/films/R
508,"video/films/P/1988 - Point de fuite"
509,video/films/G
510,"video/films/M/Most people live in China"
511,video/films/G/Leonid_Gayday
512,video/films/G/Leonid_Gayday
513,video/films/G/Leonid_Gayday
514,video/films/F/fight_club
515,video/films/B
516,video/films/0_convert_films
517,video/films/0_convert_films
518,video/films/A
519,video/films/A/Les.Aventuriers_DUB_1.45
520,video/films/0_comedy
521,video/films/0_comedy
522,video/films/0_comedy
